Model,DPO4032
Firmware Version,2.30

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.0004
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,-0.113
Vertical Scale,0.01
Label,
TIME,CH1
-4.0000e-01,-0.112873
-3.9960e-01,-0.11267
-3.9920e-01,-0.112653
-3.9880e-01,-0.113328
-3.9840e-01,-0.113417
-3.9800e-01,-0.113147
-3.9760e-01,-0.113306
-3.9720e-01,-0.112841
-3.9680e-01,-0.112717
-3.9640e-01,-0.113264
-3.9600e-01,-0.112692
-3.9560e-01,-0.112727
-3.9520e-01,-0.112831
-3.9480e-01,-0.112842
-3.9440e-01,-0.112975
-3.9400e-01,-0.112636
-3.9360e-01,-0.113216
-3.9320e-01,-0.113027
-3.9280e-01,-0.112477
-3.9240e-01,-0.112594
-3.9200e-01,-0.112539
-3.9160e-01,-0.11242
-3.9120e-01,-0.112995
-3.9080e-01,-0.113102
-3.9040e-01,-0.112886
-3.9000e-01,-0.112991
-3.8960e-01,-0.113761
-3.8920e-01,-0.113189
-3.8880e-01,-0.112455
-3.8840e-01,-0.113425
-3.8800e-01,-0.113297
-3.8760e-01,-0.112961
-3.8720e-01,-0.113384
-3.8680e-01,-0.112833
-3.8640e-01,-0.11315
-3.8600e-01,-0.112927
-3.8560e-01,-0.113414
-3.8520e-01,-0.112994
-3.8480e-01,-0.112247
-3.8440e-01,-0.112809
-3.8400e-01,-0.11295
-3.8360e-01,-0.11252
-3.8320e-01,-0.113236
-3.8280e-01,-0.113272
-3.8240e-01,-0.113228
-3.8200e-01,-0.112959
-3.8160e-01,-0.112908
-3.8120e-01,-0.113069
-3.8080e-01,-0.113219
-3.8040e-01,-0.112627
-3.8000e-01,-0.112309
-3.7960e-01,-0.112852
-3.7920e-01,-0.112206
-3.7880e-01,-0.113245
-3.7840e-01,-0.113692
-3.7800e-01,-0.11307
-3.7760e-01,-0.113383
-3.7720e-01,-0.112377
-3.7680e-01,-0.112888
-3.7640e-01,-0.112702
-3.7600e-01,-0.113558
-3.7560e-01,-0.113197
-3.7520e-01,-0.112647
-3.7480e-01,-0.112928
-3.7440e-01,-0.112616
-3.7400e-01,-0.113223
-3.7360e-01,-0.112364
-3.7320e-01,-0.112927
-3.7280e-01,-0.112989
-3.7240e-01,-0.112744
-3.7200e-01,-0.113242
-3.7160e-01,-0.113752
-3.7120e-01,-0.112884
-3.7080e-01,-0.112769
-3.7040e-01,-0.112867
-3.7000e-01,-0.113044
-3.6960e-01,-0.11295
-3.6920e-01,-0.113083
-3.6880e-01,-0.113103
-3.6840e-01,-0.113233
-3.6800e-01,-0.112992
-3.6760e-01,-0.112442
-3.6720e-01,-0.113036
-3.6680e-01,-0.1135
-3.6640e-01,-0.112905
-3.6600e-01,-0.112958
-3.6560e-01,-0.11308
-3.6520e-01,-0.112703
-3.6480e-01,-0.112595
-3.6440e-01,-0.112591
-3.6400e-01,-0.112919
-3.6360e-01,-0.113523
-3.6320e-01,-0.113364
-3.6280e-01,-0.113306
-3.6240e-01,-0.113197
-3.6200e-01,-0.113228
-3.6160e-01,-0.113383
-3.6120e-01,-0.112453
-3.6080e-01,-0.112838
-3.6040e-01,-0.113113
-3.6000e-01,-0.113241
-3.5960e-01,-0.113094
-3.5920e-01,-0.112781
-3.5880e-01,-0.112853
-3.5840e-01,-0.113231
-3.5800e-01,-0.113103
